# Combined nev from the directory /RESULTS/grid4D/results/
# par1	par2	par3	par4	xsect [mb]	xsecterr [mb]	nev
1000	1442	1353	922	4.203e-10	7.139e-12	151309
1000	1841	2014	922	2.574e-10	4.606e-12	92665
1000	1000	1108	1	1.143e-09	9.196e-11	411481
1000	2080	500	1	9.616e-10	1.428e-11	346177
1000	1629	2458	1	3.324e-10	5.941e-12	119665
1000	1442	610	600	6.503e-10	1.021e-11	234109
1000	1000	908	834	1.366e-09	2.242e-11	491761
1000	1129	908	1	8.532e-10	1.217e-11	307153
1000	1000	2014	1	1.29e-09	6.341e-11	464401
1000	1000	500	1	2.117e-09	3.436e-11	762121
1000	1276	1651	1	5.868e-10	9.985e-12	211249
1000	1629	610	421	5.204e-10	7.489e-12	187345
1000	1276	744	658	6.374e-10	9.226e-12	229465
1000	1841	500	469	9.664e-10	1.681e-11	347905
1000	1129	3000	922	8.682e-10	1.434e-11	312553
1000	2350	3000	922	2.08e-10	3.8e-12	74881
1000	2080	908	834	2.108e-10	2.939e-12	75889
1000	1442	2458	922	4.32e-10	7.385e-12	155521
1000	1629	1353	1	3.233e-10	5.527e-12	116389
1000	1129	1651	922	8.611e-10	1.486e-11	309997
1000	3000	1353	922	1.925e-10	3.527e-12	69301
1000	2350	908	1	2.063e-10	2.675e-12	74269
1129	1000	2458	1	8.831e-10	1.358e-11	317917
1000	2350	1651	922	2.04e-10	3.638e-12	73441
1000	2080	2014	1	2.28e-10	4.11e-12	82080
1000	1276	3000	1	6e-10	9.912e-12	216001
1000	3000	2458	922	1.968e-10	3.483e-12	70849
1000	1841	1108	922	2.654e-10	4.767e-12	95545
1129	1000	1353	1	8.785e-10	1.271e-11	316261
1000	2655	3000	1	1.92e-10	3.488e-12	69121
1000	2080	1108	1	2.315e-10	4.219e-12	83341
1129	1129	1108	1092	6.399e-10	1.104e-11	230365
1000	3000	610	600	4.279e-10	7.217e-12	154045
1129	1000	610	421	1.076e-09	1.673e-11	387361
1129	1442	1353	1063	2.561e-10	4.303e-12	92197
1000	1000	1108	784	9.992e-10	6.444e-11	359713
1129	1129	908	786	6.522e-10	1.116e-11	234793
1129	1629	3000	425	1.683e-10	2.811e-12	60589
1000	2655	1651	1	2.026e-10	3.738e-12	72937
1000	2655	744	658	2.482e-10	3.468e-12	89352
1000	1000	908	892	1.403e-09	2.407e-11	505081
1000	1276	1651	784	5.912e-10	1.011e-11	212832
1000	1000	500	406	2.014e-09	3.361e-11	725041
1000	1276	744	727	6.348e-10	9.298e-12	228529
1000	1000	2014	784	1.283e-09	6.045e-11	461881
1129	1442	2014	959	2.44e-10	3.882e-12	87841
1000	1129	908	706	8.435e-10	1.254e-11	303661
1000	1629	1353	784	3.234e-10	5.751e-12	116425
1000	1276	3000	784	5.908e-10	1.009e-11	212688
1000	1129	3000	983	8.964e-10	1.516e-11	322705
1000	1129	1651	983	8.471e-10	1.372e-11	304957
1000	1442	2458	983	4.176e-10	7.502e-12	150337
1000	1442	744	491	4.764e-10	6.437e-12	171505
1129	1841	610	600	3.651e-10	6.327e-12	131437
1276	1000	1651	953	6.942e-10	1.167e-11	249913
1129	2080	908	898	1.122e-10	1.639e-12	40393
1129	1841	2458	425	1.257e-10	2.099e-12	45252
1129	1841	1353	959	1.238e-10	2.177e-12	44569
1129	2080	1108	940	9.603e-11	1.369e-12	34571
1129	1276	1651	1063	3.688e-10	6.028e-12	132769
1129	1129	2014	1063	5.502e-10	5.383e-11	198073
1129	2080	500	446	5.645e-10	1.042e-11	203221
1129	2350	3000	1104	8.556e-11	1.533e-12	30802
1129	3000	2014	1104	7.472e-11	1.356e-12	26900
1129	1629	908	358	1.813e-10	2.407e-12	65269
1129	2655	1353	425	8.228e-11	1.511e-12	29621
1276	1442	1651	1266	1.502e-10	2.503e-12	54073
1276	1129	1353	959	3.714e-10	5.821e-12	133705
1276	1442	3000	1233	1.539e-10	2.583e-12	55405
1129	3000	1108	416	7.398e-11	9.618e-13	26633
